id,quote,author,category,tags,source,source_license,search_text
quote-001,A quiet mind can hear the lesson hidden inside a difficult day.,Elias North,philosophy,reflection;resilience;wisdom,Generated synthetic sample data for semantic-search POC,Synthetic sample data; use under this repository's license,"A quiet mind can hear the lesson hidden inside a difficult day. Author: Elias North. Category: philosophy. Tags: reflection, resilience, wisdom."
quote-002,The question that makes us uncomfortable is often the question that makes us grow.,Mara Ellison,philosophy,growth;curiosity;self-examination,Generated synthetic sample data for semantic-search POC,Synthetic sample data; use under this repository's license,"The question that makes us uncomfortable is often the question that makes us grow. Author: Mara Ellison. Category: philosophy. Tags: growth, curiosity, self-examination."
quote-003,Patience is not standing still; it is moving without surrendering to panic.,Jonas Reed,philosophy,patience;calm;discipline,Generated synthetic sample data for semantic-search POC,Synthetic sample data; use under this repository's license,"Patience is not standing still; it is moving without surrendering to panic. Author: Jonas Reed. Category: philosophy. Tags: patience, calm, discipline."
quote-004,Meaning is rarely discovered by accident; it is assembled through attention.,Nadia Vale,philosophy,meaning;attention;purpose,Generated synthetic sample data for semantic-search POC,Synthetic sample data; use under this repository's license,"Meaning is rarely discovered by accident; it is assembled through attention. Author: Nadia Vale. Category: philosophy. Tags: meaning, attention, purpose."
quote-005,The smallest honest choice can redirect the shape of an entire life.,Caleb Rowan,philosophy,integrity;choice;life,Generated synthetic sample data for semantic-search POC,Synthetic sample data; use under this repository's license,"The smallest honest choice can redirect the shape of an entire life. Author: Caleb Rowan. Category: philosophy. Tags: integrity, choice, life."
quote-006,We understand ourselves better when we stop treating every silence as empty.,Iris Camden,philosophy,silence;understanding;self-awareness,Generated synthetic sample data for semantic-search POC,Synthetic sample data; use under this repository's license,"We understand ourselves better when we stop treating every silence as empty. Author: Iris Camden. Category: philosophy. Tags: silence, understanding, self-awareness."
quote-007,A wise person changes direction without pretending the old road was useless.,Theo Marlow,philosophy,change;wisdom;humility,Generated synthetic sample data for semantic-search POC,Synthetic sample data; use under this repository's license,"A wise person changes direction without pretending the old road was useless. Author: Theo Marlow. Category: philosophy. Tags: change, wisdom, humility."
quote-008,Humility begins when certainty leaves enough room for wonder.,Lena Cross,philosophy,humility;wonder;certainty,Generated synthetic sample data for semantic-search POC,Synthetic sample data; use under this repository's license,"Humility begins when certainty leaves enough room for wonder. Author: Lena Cross. Category: philosophy. Tags: humility, wonder, certainty."
quote-009,The truth does not become smaller when we approach it carefully.,Simon Bell,philosophy,truth;care;discernment,Generated synthetic sample data for semantic-search POC,Synthetic sample data; use under this repository's license,"The truth does not become smaller when we approach it carefully. Author: Simon Bell. Category: philosophy. Tags: truth, care, discernment."
quote-010,Every boundary teaches us something about what we value.,Clara Finch,philosophy,boundaries;values;identity,Generated synthetic sample data for semantic-search POC,Synthetic sample data; use under this repository's license,"Every boundary teaches us something about what we value. Author: Clara Finch. Category: philosophy. Tags: boundaries, values, identity."
quote-011,Science begins when wonder learns how to take notes.,Dr. Mira Stone,science,science;wonder;observation,Generated synthetic sample data for semantic-search POC,Synthetic sample data; use under this repository's license,"Science begins when wonder learns how to take notes. Author: Dr. Mira Stone. Category: science. Tags: science, wonder, observation."
